A,B,C,D,E,F,G,H,I,J,K,L,M,N,O,P,Q,R,S,T,U,V,W,X,Y,Z,Label,Sequence_Length
3,0,0,0,1,3,1,0,2,0,0,9,0,1,0,0,0,1,1,4,0,5,0,0,0,0,Envelope,31
3,0,0,0,1,3,1,0,2,0,0,9,0,1,0,0,0,1,1,4,0,5,0,0,0,0,Envelope,31
3,0,0,0,1,3,1,0,2,0,0,9,0,1,0,0,0,1,1,4,0,5,0,0,0,0,Envelope,31
3,0,0,0,1,3,1,0,2,0,0,9,0,1,0,0,0,1,1,4,0,5,0,0,0,0,Envelope,31
3,0,0,0,1,3,1,0,2,0,0,9,0,1,0,0,0,1,1,4,0,5,0,0,0,0,Envelope,31
3,0,0,0,1,3,1,0,2,0,0,9,0,1,0,0,0,1,1,4,0,5,0,0,0,0,Envelope,31
0,0,0,1,0,0,0,0,0,0,1,3,0,2,0,1,0,2,3,0,0,4,0,0,1,0,Envelope,18
3,0,0,0,1,3,1,0,2,0,0,9,0,1,0,0,0,1,1,4,0,5,0,0,0,0,Envelope,31
3,0,0,0,1,3,1,0,2,0,0,9,0,1,0,0,0,1,1,4,0,5,0,0,0,0,Envelope,31
3,0,0,0,1,3,1,0,2,0,0,9,0,1,0,0,0,1,1,4,0,5,0,0,0,0,Envelope,31
3,0,0,0,1,3,1,0,2,0,0,9,0,1,0,0,0,1,1,4,0,5,0,0,0,0,Envelope,31
4,0,3,1,2,5,1,0,3,0,2,14,1,5,0,2,0,3,8,4,0,13,0,0,4,0,Envelope,75
4,0,3,1,2,5,1,0,3,0,2,14,1,5,0,2,0,3,8,4,0,13,0,0,4,0,Envelope,75
4,0,3,1,2,5,1,0,3,0,2,14,1,5,0,2,0,3,8,4,0,13,0,0,4,0,Envelope,75
4,0,3,1,2,5,1,0,3,0,2,13,1,5,0,3,0,3,8,4,0,13,0,0,4,0,Envelope,75
4,0,3,1,2,5,1,0,3,0,2,14,1,5,0,2,0,3,8,4,0,13,0,0,4,0,Envelope,75
4,0,3,1,2,5,1,0,4,0,2,14,1,5,0,2,0,3,8,3,0,13,0,0,4,0,Envelope,75
4,0,3,1,2,5,1,0,4,0,2,14,1,5,0,2,0,3,8,3,0,13,0,0,4,0,Envelope,75
4,0,3,1,2,5,1,0,4,0,2,14,1,5,0,2,0,3,8,3,0,13,0,0,4,0,Envelope,75
4,0,3,1,2,5,1,0,4,0,2,14,1,5,0,2,0,3,8,3,0,13,0,0,4,0,Envelope,75
4,0,3,1,2,5,1,0,4,0,2,14,1,5,0,2,0,3,8,3,0,13,0,0,4,0,Envelope,75
4,0,3,1,2,5,1,0,4,0,2,14,1,5,0,2,0,3,8,3,0,13,0,0,4,0,Envelope,75
4,0,3,1,2,5,1,0,4,0,2,14,1,5,0,2,0,3,8,3,0,13,0,0,4,0,Envelope,75
4,0,3,1,2,5,1,0,4,0,2,14,1,5,0,2,0,3,8,3,0,13,0,0,4,0,Envelope,75
4,0,3,1,2,5,1,0,4,0,2,14,1,5,0,2,0,3,8,3,0,13,0,0,4,0,Envelope,75
4,0,3,1,2,5,1,0,4,0,2,14,1,5,0,2,0,3,8,3,0,13,0,0,4,0,Envelope,75
4,0,3,1,2,5,1,0,4,0,2,14,1,5,0,2,0,3,8,3,0,13,0,0,4,0,Envelope,75
4,0,3,1,2,5,1,0,4,0,2,14,1,5,0,2,0,3,8,3,0,13,0,0,4,0,Envelope,75
4,0,3,1,2,5,1,0,4,0,2,14,1,5,0,2,0,3,8,3,0,13,0,0,4,0,Envelope,75
4,0,3,1,2,5,1,0,4,0,2,14,1,5,0,2,0,3,8,3,0,13,0,0,4,0,Envelope,75
4,0,3,1,2,5,1,0,4,0,2,14,1,5,0,2,0,3,8,3,0,13,0,0,4,0,Envelope,75
4,0,3,1,2,5,1,0,4,0,2,14,1,5,0,2,0,3,8,3,0,13,0,0,4,0,Envelope,75
4,0,3,1,2,5,1,0,4,0,2,14,1,5,0,2,0,3,8,3,0,13,0,0,4,0,Envelope,75
4,0,3,1,2,5,1,0,4,0,2,14,1,5,0,2,0,3,8,3,0,13,0,0,4,0,Envelope,75
4,0,3,1,2,5,1,0,4,0,2,14,1,5,0,2,0,3,8,3,0,13,0,0,4,0,Envelope,75
4,0,3,1,2,5,1,0,4,0,2,14,1,5,0,2,0,3,8,3,0,13,0,0,4,0,Envelope,75
4,0,3,1,2,5,1,0,4,0,2,14,1,5,0,2,0,3,8,3,0,13,0,0,4,0,Envelope,75
4,0,3,1,2,5,1,0,4,0,2,14,1,5,0,2,0,3,8,3,0,13,0,0,4,0,Envelope,75
4,0,3,1,2,5,1,0,4,0,2,14,1,5,0,2,0,3,8,3,0,13,0,0,4,0,Envelope,75
4,0,3,1,2,5,1,0,4,0,2,14,1,5,0,2,0,3,8,3,0,13,0,0,4,0,Envelope,75
4,0,3,1,2,5,1,0,4,0,2,14,1,5,0,2,0,3,8,3,0,13,0,0,4,0,Envelope,75
4,0,3,1,2,5,1,0,4,0,2,14,1,5,0,2,0,3,8,3,0,13,0,0,4,0,Envelope,75
4,0,3,1,2,5,1,0,4,0,2,14,1,5,0,2,0,3,8,3,0,13,0,0,4,0,Envelope,75
4,0,3,1,2,5,1,0,4,0,2,14,1,5,0,2,0,3,8,3,0,13,0,0,4,0,Envelope,75
4,0,3,1,2,5,1,0,4,0,2,14,1,5,0,2,0,3,8,3,0,13,0,0,4,0,Envelope,75
4,0,3,1,2,5,1,0,4,0,2,14,1,5,0,2,0,3,8,3,0,13,0,0,4,0,Envelope,75
4,0,3,1,2,5,1,0,4,0,2,14,1,5,0,2,0,3,8,3,0,13,0,0,4,0,Envelope,75
4,0,3,1,2,5,1,0,4,0,2,14,1,5,0,2,0,3,8,3,0,13,0,0,4,0,Envelope,75
4,0,3,1,2,5,1,0,4,0,2,14,1,5,0,2,0,3,8,3,0,13,0,0,4,0,Envelope,75
4,0,3,1,2,5,1,0,4,0,2,14,1,5,0,2,0,3,8,3,0,13,0,0,4,0,Envelope,75
4,0,3,1,2,5,1,0,4,0,2,14,1,5,0,2,0,3,8,3,0,13,0,0,4,0,Envelope,75
4,0,3,1,2,5,1,0,4,0,2,14,1,5,0,2,0,3,8,3,0,13,0,0,4,0,Envelope,75
4,0,3,1,2,5,1,0,4,0,2,14,1,5,0,2,0,3,8,3,0,13,0,0,4,0,Envelope,75
4,0,3,1,2,5,1,0,4,0,2,14,1,5,0,2,0,3,8,3,0,13,0,0,4,0,Envelope,75
4,0,3,1,2,5,1,0,4,0,2,14,1,5,0,2,0,3,8,3,0,13,0,0,4,0,Envelope,75
4,0,3,1,2,5,1,0,4,0,2,14,1,5,0,2,0,3,8,3,0,13,0,0,4,0,Envelope,75
4,0,3,1,2,5,1,0,4,0,2,14,1,5,0,2,0,3,8,3,0,13,0,0,4,0,Envelope,75
4,0,3,1,2,5,1,0,4,0,2,14,1,5,0,2,0,3,8,3,0,13,0,0,4,0,Envelope,75
4,0,3,1,2,5,1,0,4,0,2,14,1,5,0,2,0,3,8,3,0,13,0,0,4,0,Envelope,75
4,0,3,1,2,5,1,0,4,0,2,14,1,5,0,2,0,3,8,3,0,13,0,0,4,0,Envelope,75
4,0,3,1,2,5,1,0,4,0,2,14,1,5,0,2,0,3,8,3,0,13,0,0,4,0,Envelope,75
4,0,3,1,2,5,1,0,4,0,2,14,1,5,0,2,0,3,8,3,0,13,0,0,4,0,Envelope,75
4,0,3,1,2,5,1,0,4,0,2,14,1,5,0,2,0,3,8,3,0,13,0,0,4,0,Envelope,75
4,0,3,1,2,5,1,0,4,0,2,14,1,5,0,2,0,3,8,3,0,13,0,0,4,0,Envelope,75
4,0,3,1,2,5,1,0,4,0,2,14,1,5,0,2,0,3,8,3,0,13,0,0,4,0,Envelope,75
4,0,3,1,2,5,1,0,4,0,2,14,1,5,0,2,0,3,8,3,0,13,0,0,4,0,Envelope,75
4,0,3,1,2,5,1,0,4,0,2,14,1,5,0,2,0,3,8,3,0,13,0,0,4,0,Envelope,75
4,0,3,1,2,5,1,0,4,0,2,14,1,5,0,2,0,3,8,3,0,13,0,0,4,0,Envelope,75
4,0,3,1,2,5,1,0,4,0,2,14,1,5,0,2,0,3,8,3,0,13,0,0,4,0,Envelope,75
4,0,3,1,2,5,1,0,4,0,2,14,1,5,0,2,0,3,8,3,0,13,0,0,4,0,Envelope,75
4,0,3,1,2,5,1,0,4,0,2,14,1,5,0,2,0,3,8,3,0,13,0,0,4,0,Envelope,75
4,0,3,1,2,5,1,0,4,0,2,14,1,5,0,2,0,3,8,3,0,13,0,0,4,0,Envelope,75
4,0,3,1,2,5,1,0,4,0,2,14,1,5,0,2,0,3,8,3,0,13,0,0,4,0,Envelope,75
4,0,3,1,2,5,1,0,4,0,2,14,1,5,0,2,0,3,8,3,0,13,0,0,4,0,Envelope,75
4,0,3,1,2,5,1,0,4,0,2,14,1,5,0,2,0,3,8,3,0,13,0,0,4,0,Envelope,75
4,0,3,1,2,5,1,0,4,0,2,14,1,5,0,2,0,3,8,3,0,13,0,0,4,0,Envelope,75
4,0,3,1,2,5,1,0,4,0,2,14,1,5,0,2,0,3,8,3,0,13,0,0,4,0,Envelope,75
4,0,3,1,2,5,1,0,4,0,2,14,1,5,0,2,0,3,8,3,0,13,0,0,4,0,Envelope,75
4,0,3,1,2,5,1,0,4,0,2,14,1,5,0,2,0,3,8,3,0,13,0,0,4,0,Envelope,75
4,0,3,1,2,5,1,0,4,0,2,14,1,5,0,2,0,3,8,3,0,13,0,0,4,0,Envelope,75
4,0,3,1,2,5,1,0,4,0,2,14,1,5,0,2,0,3,8,3,0,13,0,0,4,0,Envelope,75
4,0,3,1,2,5,1,0,4,0,2,14,1,5,0,2,0,3,8,3,0,13,0,0,4,0,Envelope,75
4,0,3,1,2,5,1,0,4,0,2,14,1,5,0,2,0,3,8,3,0,13,0,0,4,0,Envelope,75
4,0,3,1,2,5,1,0,4,0,2,14,1,5,0,2,0,3,8,3,0,13,0,0,4,0,Envelope,75
4,0,3,1,2,5,1,0,4,0,2,14,1,5,0,2,0,3,8,3,0,13,0,0,4,0,Envelope,75
4,0,3,1,2,5,1,0,4,0,2,14,1,5,0,2,0,3,8,3,0,13,0,0,4,0,Envelope,75
4,0,3,1,2,5,1,0,4,0,2,14,1,5,0,2,0,3,8,3,0,13,0,0,4,0,Envelope,75
4,0,3,1,2,5,1,0,4,0,2,14,1,5,0,2,0,3,8,3,0,13,0,0,4,0,Envelope,75
